Converter,20,889,1060,1454,1621,2509,248,2509,0.000%,1.20642,27.13,0.18
Formulas,20,619,272,2173,2177,2887,249,2887,0.000%,1.26670,29.32,0.18
Currencies,20,406,254,331,349,3053,246,3053,0.000%,1.26040,24.36,0.19
Charts,20,541,264,611,2573,2741,245,2741,0.000%,1.23251,38.03,0.18
Examples,20,348,256,357,494,1675,247,1675,0.000%,1.23168,25.02,0.16
Tutorials,20,452,262,494,1452,2571,246,2571,0.000%,1.22459,34.87,0.16
Answers,20,712,503,967,2445,3417,248,3417,0.000%,1.19782,69.91,0.16
Dictionary,20,467,256,614,1797,2360,246,2360,0.000%,1.17213,37.34,0.17
Download,20,316,270,420,540,628,246,628,0.000%,1.17048,32.73,0.17
Calculators,20,535,272,721,1014,3134,248,3134,0.000%,1.14371,53.90,0.15
TOTAL,200,529,271,1125,2177,3053,245,3417,0.000%,9.72810,301.49,1.37
